2.5;0.03314407847269915 / 8.66914918923635E-4;0.03772756108747868 / 6.701113933071032E-4;0.036951581494493436 / 9.448185363255465E-4
12.894736842105264;0.03510887446911128 / 7.258483335321544E-4;0.008437400707221767 / 2.897168969911868E-4;0.016073338481163622 / 9.067063038757268E-4
23.289473684210527;5.634171614056377E-4 / 9.749213087738285E-5;0.0 / 0.0;0.011117563560107088 / 6.21894461229006E-4
33.684210526315795;0.02985857793514332 / 4.913696640847197E-4;0.013994541447018153 / 4.3836076123616313E-4;0.013801293450374185 / 1.7280726833122755E-4
44.078947368421055;0.0 / 0.0;0.028917050929885984 / 6.534032588161563E-4;0.002964896685177619 / 0.0012223232924541395
54.473684210526315;3.3475262228605565E-4 / 6.661614889494642E-5;0.0 / 0.0;0.042872369453771667 / 2.861129997519529E-4
64.86842105263158;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
75.26315789473684;0.0 / 0.0;0.0 / 0.0;0.017264433764129793 / 1.1034659566899405E-4
85.6578947368421;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
96.05263157894736;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
106.44736842105262;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
116.84210526315788;0.0 / 0.0;0.0 / 0.0;0.024115364810140327 / 1.594939004414854E-4
127.23684210526314;0.0 / 0.0;0.0 / 0.0;0.020234132631219776 / 1.2975526789960404E-4
137.6315789473684;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
148.02631578947367;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
158.42105263157893;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
168.8157894736842;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
179.21052631578945;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
189.6052631578947;0.0 / 0.0;0.0 / 0.0;0.019161045924131547 / 1.2171353112384528E-4
199.99999999999997;0.0 / 0.0;0.0 / 0.0;0.018007122232882443 / 1.1110748684549712E-4
