TIME_OUT,U_COMMIT,U_END,U_ORD
5,1.4514727634858813,98.84801806161643,99.95682422363649
10,0.5782584089817556,98.90274236800134,99.9548614414005
20,0.322899076375787,98.89192501687965,99.95698215026182
30,0.18664849976099326,98.91203716847023,99.95812308712812
40,0.11156760776227007,98.91764939917297,99.9599785353027
50,0.09602638503195851,98.87489052061802,99.95844630624337
60,0.10462340032569911,98.89983709311471,99.96245616514929
70,0.052518161227479446,98.8842767489297,99.96023895786962
80,0.04229079880278098,98.93702920179722,99.96134305357764
90,0.05606834974877421,98.88139362131673,99.96171987122159
100,0.05227110567330773,98.90194424460846,99.96089867156056
